_id: 57c82964fbff50645890826e
SMARTS: [C:2]-[OH;+0:1].[OH;+0:3]-[C:4]-[C:5](-[OH;+0:8])-[C:6]-[OH;+0:7]>>O=C-[O;H0;+0:1]-[C:2].O=C-[O;H0;+0:3]-[C:4]-[C:5](-[C:6]-[O;H0;+0:7]-C=O)-[O;H0;+0:8]-C=O
number of examples: 1898
EFG Index	Name	SMARTS	Fraction of examples with co-existing group
17	Carbonyl hydrates	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OH1]	0.0
18	Hemiacetals / Hemiketals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	0.00158061116965
19	Acetals / Ketals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#6&!$([CX3]=[OX1,SX1,NX2])])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	0.151211801897
20	Hemiaminals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[NX3]([#1,*])[#1,*]	0.00263435194942
21	Aminals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([NX3]([#1,*])[#1,*])[NX3]([#1,*])[#1,*]	0.0
22	Thiohemiaminals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[NX3]([#1,*])[#1,*]	0.00526870389884
23	Thioacetals / Thioketals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[SX2,OX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)]	0.0279241306639
24	Enamines	[CX3]([#1,#6])([#1,#6])=[CX3]([#1,#6])[NX3&!$([NX3](=[OX1])=[OX1])&!$([NX3+](=[OX1])[O-])]([#1,*])[#1,*]	0.000526870389884
25	Enols	[CX3]([#1,#6])([#1,#6])=[CX3]([OH1])[#1,#6]	0.000526870389884
26	Enolethers	[CX3]([#1,#6])([#1,#6])=[CX3]([OX2][#6&!$([CX3]([OX2])=[OX1,SX1,NX2,C])])[#1,#6]	0.000526870389884
27	Hydroxy compounds: alcohols or phenols	[#6&!$([CX4]([OH1])[#8,#16,#7,#15])&!$([CX3]([OH1])=[OX1,SX1,NH2,C])][OH1]	0.144362486828
28	Alcohols	[$([CX4][OH1])&!$(C([OH1])[#7,#8,#15,#16,F,Cl,Br,I])]	0.0769230769231
29	Primary alcohols	[$([#6][CH2][OH1]),$([CH3][OH1])]	0.0516332982086
30	Secondary alcohols	[OH1][CX4H1]([#6])[#6]	0.036354056902
31	Tertiary alcohols	[CX4]([OH1])([#6])([#6])[#6]	0.0110642781876
32	1,2-Diols	[CX4]([OH1])([#1,#6])([#1,#6])[CX4]([OH1])([#1,#6])([#1,#6])	0.0
33	1,2-Aminoalcohols	[CX4]([#1,#6])([#1,#6])([OH1])[CX4]([#1,#6])([#1,#6])[NH2,$([NH1]([CX4][CX4][OH1])[#6&!$([CX3]=[OX1,SX1,NX2,C])])]	0.0
34	Phenols	c[OH1]	0.072708113804
35	Diphenols	[$(c([OH1])c([OH1])),$(c([OH1])[aR1]c([OH1])),$(c1([OH1])aac([OH1])aa1)]	0.0184404636459
36	Enediols	[CX3]([#1,#6])([OH1])=[CX3]([#1,#6])([OH1])	0.0
37	Ethers	[#6&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([OX2])=[OX1,SX1,NX2,C])][OX2][#6&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([OX2])=[OX1,SX1,NX2,C])]	0.895152792413
38	Dialkylethers	[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2][CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))]	0.0885142255005
39	Alkylarylethers	[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2]c	0.157534246575
40	Diarylethers	c[OX2&!$([OX2r3])]c	0.000526870389884
41	Thioethers	[#6&!$([CX4]([SX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([SX2])=[OX1,SX1,NX2,C])&!$([#6][SX2]C#N)][SX2][#6&!$([CX4]([SX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([SX2])=[OX1,SX1,NX2,C])&!$([#6][SX2]C#N)]	0.195468914647
42	Disulfides	[*][#16X2][#16X2][*]	0.000526870389884
43	Peroxides	[#6&!$([CX3]=[OX1,SX1,NX2])][OX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	0.00158061116965
44	Hydroperoxides	[#1,#6][OX2][OX2H1]	0.0
45	Hydrazine derivatives	[$([NX4]([#1,#6])([#1,#6])([#1,#6])),$([NX3]([#1,#6])([#1,#6])),$([NX2]=[#1,#6])][$([NX4]([#1,#6])([#1,#6])([#1,#6])),$([NX3]([#1,#6])([#1,#6])),$([NX2]=[#1,#6])]	0.0
46	Hydroxylamines	[N&!$([NH1]([CX3]=[OX1,SX1,NX2])[OH1])&!$(N([OH1])([CX3]=[OX1,SX1,NX2])([CX3]=[OX1,SX1,NX2]))]([#1,#6])([#1,#6])[OH1]	0.0031612223393
47	Amines	[NX3]([#1,#6&!$([CX3]=[O,S,N,C])&!$([#6]([NX3])[N,O,S,P])&!$(C([NX3])#N)])([#1,#6&!$([CX3]=[O,S,N,C])&!$([#6]([NX3])[N,O,S,P])&!$(C([NX3])#N)])[#1,#6&!$([CX3]=[O,S,N,C])&!$([#6]([NX3])[N,O,S,P])&!$(C([NX3])#N)]	0.0300316122234
48	Primary aliphatic amines	[NX3H2][CX4&!$([CX4]([NH2])[O,N,S,P])]	0.00421496311907
49	Primary aromatic amines	[NX3H2]c	0.0126448893572
50	Secondary aliphatic amines	[NX3H1]([CX4&!$([CX4]([NX3H1])[O,S,N,P])])[CX4&!$([CX4]([NX3H1])[O,S,N,P])]	0.000526870389884
51	Secondary mixed amines (aryl alkyl)	c[NX3H1][CX4&!$([CX4]([NX3H1])[O,N,S,P])]	0.00421496311907
52	Secondary aromatic amines	[NX3H1](c)c	0.00210748155954
53	Tertiary aliphatic amines	[NX3]([CX4&!$([CX4]([NX3])[O,S,N,P])])([CX4&!$([CX4]([NX3])[O,S,N,P])])[CX4&!$([CX4]([NX3])[O,S,N,P])]	0.0210748155954
54	Tertiary mixed amines (aryl alkyl)	c[NX3]([CX4&!$([CX4]([NX3])[O,N,S,P])])[c,CX4&!$([CX4]([NX3]c)[O,S,N,P])]	0.00842992623815
55	Tertiary aromatic amines	[NX3](c)(c)c	0.0
56	Quaternary ammonium salts	[NX4,NX4+]([#6])([#6])([#6])[#6]	0.00105374077977
57	N-Oxides	[$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1]=[Nv5X3&!$([Nv5X3](=[OX1])=[OX1])](=[*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R]))]	0.00105374077977
58	Halogen derivatives (alkyl, alkenyl, aryl)	[CX4,CX3,c;!$([#6]=[OX1])][F,Cl,Br,I]	0.158587987355
59	Alkyl fluorides	[CX4]F AND NOT [$([CX4](F)[CX3]=[CX3]),$([CX4](F)[CX2]#[CX2]),$([CX4](F)a)]	0.0216016859852
60	Alkyl chlorides	[CX4]Cl AND NOT [$([CX4](Cl)[CX3]=[CX3]),$([CX4](Cl)[CX2]#[CX2]),$([CX4](Cl)a)]	0.013698630137
61	Alkyl bromides	[CX4]Br AND NOT [$([CX4](Br)[CX3]=[CX3]),$([CX4](Br)[CX2]#[CX2]),$([CX4](Br)a)]	0.00158061116965
62	Alkyl iodides	[CX4]I AND NOT [$([CX4](I)[CX3]=[CX3]),$([CX4](I)[CX2]#[CX2]),$([CX4](I)a)]	0.000526870389884
63	Aryl fluorides	aF	0.0194942044257
64	Aryl chlorides	aCl	0.0779768177028
65	Aryl bromides	aBr	0.0131717597471
66	Aryl iodides	aI	0.00158061116965
67	Organometallic compounds	[!#1!#2!#5!#6!#7!#8!#9!#10!#14!#15!#16!#17!#18!#32!#33!#34!#35!#36!#51!#52!#53!#54!#84!#85!#86]~[#6]	0.0
68	Organolithium compounds	[Li][#6]	0.0
69	Organomagnesium compounds	[Mg][#6]	0.0
70	Carboxylic acid derivatives	[#1,#6][CX3](=[OX1])[!#1!#6!$([SH1,SX2])]	0.263962065332
71	Carboxylic acids	[#1,#6][CX3](=[OX1])[OX2H1]	0.00368809272919
72	Carboxylic acid salts	[#1,#6][CX3](=[OX1])[OX1-]	0.0
73	Carboxylic acid esters	[#1,#6][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	0.113277133825
74	Lactones	[#6R][CX3R](=[OX1])[OX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])]	0.0147523709168
75	Carboxylic acid amides	[#1,#6][CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX1])])[#1,#6&!$([CX3]=[OX1,SX1,NX1])]	0.0310853530032
76	Carboxylic acid primary amides	[#1,#6][CX3](=[OX1])[NX3H2]	0.00421496311907
77	Carboxylic acid secondary amides	[#1,#6][CX3](=[OX1])[NX3H1][#6&!$([CX3]=[OX1,SX1,NX2])]	0.0853530031612
78	Carboxylic acid tertiary amides	[#1,#6][CX3](=[OX1])[NX3]([#6&!$([CX3]=[OX1,SX1,NX2])])[#6&!$([CX3]=[OX1,SX1,NX2])]	0.0310853530032
79	Lactams	[#6R][CX3R](=[OX1])[NX3R]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#6R&!$([CX3R]=[OX1,SX1,NX2])]	0.0131717597471
80	Carboxylic acid hydrazides	[$([#6,#1][#6X3](=[OX1])[#7X3&!$([#7X3]([*]=[OX1,SX1])[#7X3]([*]=[OX1,SX1]))][#7X3]),$(C1(=O)[NX3][NX3]C(=O)cc1)]	0.00790305584826
81	Carboxylic acid azides	[#1,#6][CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]	0.0
82	Hydroxamic acids	[#1,#6][CX3](=[OX1])[NX3][OH1]	0.00263435194942
83	Carboxylic acid amidines	[#1,#6][NX2]=[CX3]([#1,#6])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,N])]	0.00105374077977
84	Carboxylic acid amidrazones	[#1,#6][NX2]=[CX3]([#1,#6])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	0.0
85	Nitriles	[#1,#6&!$([CX3]=[OX1,SX1])][CX2]#[NX1]	0.139093782929
86	Acyl halides	[#1,#6][CX3](=[OX1])[F,Cl,Br,I]	0.0
87	Acyl fluorides	[#1,#6][CX3](=[OX1])F	0.0
88	Acyl chlorides	[#1,#6][CX3](=[OX1])Cl	0.0
89	Acyl bromides	[#1,#6][CX3](=[OX1])Br	0.0
90	Acyl iodides	[#1,#6][CX3](=[OX1])I	0.0
91	Acyl cyanides	[#1,#6][CX3](=[OX1])[CX2]#[NX1]	0.0
92	Imido esters	[#1,#6][CX3](=[NX2][#1,#6])[OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])]	0.0
93	Imidoyl halides	[#1,#6][CX3](=[NX2][#1,#6])[F,Cl,Br,I]	0.0
94	Thiocarboxylic acid derivatives	[$([#1,#6][CX3](=[SX1])[!#1!#6]),$([#1,#6][CX3](=[OX1])[SX2])]	0.0
95	Thiocarboxylic acids	[$([#1,#6][CX3](=[SX1])[OH1,SH1]),$([#1,#6][CX3](=[OX1])[SH1])]	0.0
96	Thiocarboxylic acid esters	[$([#1,#6][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([#1,#6][CX3](=[OX1])[SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]	0.0
97	Thiolactones	[$([#6R][CX3R](=[SX1])[OX2R,SX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])]),$([#6R][CX3R](=[OX1])[SX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])])]	0.0
98	Thiocarboxylic acid amides	[#1,#6][CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX1])])[#1,#6&!$([CX3]=[OX1,SX1,NX1])]	0.0
99	Thiolactams	[#6R][CX3R](=[SX1])[NX3R]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#6R&!$([CX3R]=[OX1,SX1,NX2])]	0.0
100	Imidothioesters	[#1,#6][CX3](=[NX2][#1,#6])[SX2][C&!$([CX3]=[OX1,SX1,NX2])]	0.0
101	Oxohetarenes	[$(c(=[OX1])[$(n[#1,#6]),o,s]),$(c(=[OX1])a[$(n[#1,#6]),o,s]),$(c(=[OX1])aa[$(n[#1,#6]),o,s]),$(c(=[OX1])aaa[$(n[#1,#6]),o,s])]	0.142255005269
102	Thioxohetarenes	[$(c(=[SX1])[$(n[#1,#6]),o,s]),$(c(=[SX1])a[$(n[#1,#6]),o,s]),$(c(=[SX1])aa[$(n[#1,#6]),o,s]),$(c(=[SX1])aaa[$(n[#1,#6]),o,s])]	0.0537407797682
103	Iminohetarenes	[$(c(=N)[$(n[#1,#6]),o,s]),$(c(=N)a[$(n[#1,#6]),o,s]),$(c(=N)aa[$(n[#1,#6]),o,s]),$(c(=N)aaa[$(n[#1,#6]),o,s])]	0.00368809272919
104	Orthocarboxylic acid derivatives	[CX4&!$([CX4]([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I]))]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])([!#1!#6])([!#1!#6])[!#1!#6]	0.00158061116965
105	Carboxylic acid orthoesters	[#1,#6][CX4]([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])[OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])]	0.0
106	Carboxylic acid amide acetals	[CH1,$([CX4][#6])]([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])[NX3]([#1,*])[#1,*]	0.0
107	Carboxylic acid anhydrides	[#6][#6X3](=[OX1])[#8X2][#6X3](=[OX1])[#6]	0.000526870389884
108	Carboxylic acid imides	[CX3](=[OX1])[NX3][CX3](=[OX1])	0.0252897787144
109	Carboxylic acid unsubstituted imides	[CX3](=[OX1])[NX3H1][CX3](=[OX1])	0.0031612223393
110	Carboxylic acid substituted imides	[CX3](=[OX1])[NX3H0][CX3](=[OX1])	0.0231822971549
111	CO2 derivative (general)	[$([Cv4X4]([!#1!#6])([!#1!#6])([!#1!#6])[!#1!#6]),$([CX3](=[!#1!#6])([!#1!#6])[!#1!#6]),$([CX2](=[!#1!#6])=[!#1!#6]),$([CX2](#[!#1!#6])[!#1!#6])]	0.0516332982086
112	Carbonic acid derivatives	[$([CX3](=[OX1])([!#1!#6])[!#1!#6])&!$([CX3](=[OX1])([#7,#16X2,#15,#5])[#8X2,#16X2,#7,#15,#5])]	0.0
113	Carbonic acid monoesters	[OH1][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	0.0
114	Carbonic acid diesters	[#6&!$([CX3]=[OX1,SX1,NX2])][OX2][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	0.0
115	Carbonic acid ester halides	[#6][OX2][CX3](=[OX1])[F,Cl,Br,I]	0.0
116	Thiocarbonic acid derivatives	[$([CX3](=[SX1])([!#1!#6])[!#1!#6])&!$([CX3](=[SX1])([#7,#16X2,#15,#5])[#8X2,#16X2,#7,#15,#5]),$([CX3](=[OX1])([!#1!#6])[SX2])&!$([CX3](=[OX1])([#7,#15,#5])[#8X2,#16X2,#7,#15,#5])]	0.0
117	Thiocarbonic acid monoesters	[$([OH1,SH1][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([OH1][CX3](=[OX1])[SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([SH1][CX3](=[SX1,OX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]	0.0
118	Thiocarbonic acid diesters	[$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([#6&!$([CX3]=[OX1,SX1,NX2])][SX2][CX3](=[OX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]	0.0
119	Thiocarbonic acid ester halides	[$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[SX1])[F,Cl,Br,I]),$([#6&!$([CX3]=[OX1,SX1,NX2])][SX2][CX3](=[OX1])[F,Cl,Br,I])]	0.0
120	Carbamic acid derivatives	[NX3]([#1,*])([#1,*])[CX3](=[OX1])[!#1!#6!#16!$([Pv5])]	0.00684931506849
121	Carbamic acid	[OH1][CX3](=[OX1])[NX3]	0.0
122	Carbamic acid esters (urethanes)	[#6][OX2][CX3](=[OX1])[NH2,NH1,NX3]	0.0184404636459
123	Carbamic acid halides	[F,Cl,Br,I][CX3](=[OX1])[NX3]	0.0
124	Thiocarbamic acid derivatives	[$([NX3&!$([NX3]([CX3]=[SX1])[CX3]=[OX1,SX1,NX2])][CX3](=[SX1])[!#1!#6!#7!$([Pv5])]),$([NX3&!$([NX3]([CX3]=[OX1])[CX3]=[OX1,SX1,NX2])][CX3](=[OX1])[SH1,SX2])]	0.000526870389884
125	Thiocarbamic acids	[$([OH1,SH1][CX3](=[SX1])[NX3]),$([SH1][CX3](=[OX1])[NX3])]	0.0
126	Thiocarbamic acid esters	[$([#6][OX2,SX2][CX3](=[SX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[CX3]=[OX1,SX1])]),$([#6][SX2][CX3](=[OX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[CX3]=[OX1,SX1])])]	0.000526870389884
127	Thiocarbamic acid halides	[F,Cl,Br,I][CX3](=[SX1])[NX3]	0.0
128	Ureas	[#7&!$([#7]=[#7])&!$([#7][#7H2])&!$([#7][#7H1][#6])&!$([#7][#7]([#1,#6])[#1,#6])&!$([#7][#7]=[#6])][CX3](=[OX1])[#7&!$([#7]=[#7])&!$([#7][#7H2])&!$([#7][#7H1][#6])&!$([#7][#7]([#1,#6])[#1,#6])&!$([#7][#7]=[#6])]	0.0100105374078
129	Isoureas	[NX3&!$([NX3]([CX3]=[OX1,SX1,NX2])([CX3]=[OX1,SX1,NX2]))]([#1,#6])([#1,#6])[CX3]([OX2])=[NX2][#1,#6]	0.0
130	Thioureas	[#7&!$([#7]=[#7])&!$([#7][#7H2])&!$([#7][#7H1][#6])&!$([#7][#7]([#1,#6])[#1,#6])&!$([#7][#7]=[#6])][CX3](=S)[#7&!$([#7]=[#7])&!$([#7][#7H2])&!$([#7][#7H1][#6])&!$([#7][#7]([#1,#6])[#1,#6])&!$([#7][#7]=[#6])]	0.00842992623815
131	Isothioureas	[NX3&!$([NX3]([CX3]=[OX1,SX1,NX2])([CX3]=[OX1,SX1,NX2]))]([#1,#6])([#1,#6])[CX3]([S&!$([SX2]([CX3]=N)C=C)])=[NX2][#1,#6]	0.0
132	Guanidines	N[CX3](=[NX2][#1,#6])N	0.00737618545838
133	Semicarbazides	[$([NX3][CX3](=[OX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[NX3][CX3]=[OX1,SX1])][NX3])&!$([NX3][CX3](=[OX1])[NX3]N=C)]	0.0
134	Thiosemicarbazides	[$([NX3][CX3](=[SX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[NX3][CX3]=[OX1,SX1])][NX3])&!$([NX3][CX3](=[SX1])[NX3]N=C)]	0.0
135	Azides	[#6&!$([CX3]=[OX1,SX1])][$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1]),$([NX2]=[NX2]#[NX1])]	0.0131717597471
136	Azo compounds	[#6][NX2]=[NX2][#6]	0.00948366701791
137	Diazonium salts	[#6&!$([CX3]=[OX1,SX1])][NX2+]#[NX1]	0.0
138	Isonitriles	[#6&!$([CX3]=[OX1,SX1])][$([NX2+]#[CX1-]),$([NX2]#[CX1])]	0.0
139	Cyanates	[#6][OX2][CX2]#[NX1]	0.0
140	Isocyanates	[#6][NX2]=[CX2]=[OX1]	0.0
141	Thiocyanates	[#6][SX2][CX2]#[NX1]	0.0
142	Isothiocyanates	[#6][NX2]=[CX2]=[SX1]	0.0
143	Carbodiimides	[#1,#6&!$([CX3]=[OX1,SX1])][NX2]=[CX2]=[NX2][#1,#6&!$([CX3]=[OX1,SX1])]	0.0
144	Nitroso compounds	[#6,#7][NX2]=[OX1]	0.0
145	Nitro compounds	[#6&!$([CX3]=[OX1,SX1])][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]	0.022655426765
146	Nitrites	[#6&!$([CX3]=[OX1,SX1])][OX2][NX2]=[OX1]	0.0
147	Nitrates	[#6&!$([CX3]=[OX1,SX1])][OX2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]	0.0
148	Sulfuric acid derivatives	[!#1!#6][Sv6X4](=[OX1])(=[OX1])[!#1!#6]	0.00526870389884
149	Sulfuric acid	[OH1,O-][Sv6X4](=[OX1])(=[OX1])[OX2,O-]	0.00368809272919
150	Sulfuric acid monoesters	[#6][OX2][Sv6X4](=[OX1])(=[OX1])[OH1,O-]	0.0
151	Sulfuric acid diesters	[#6][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6]	0.0
152	Sulfuric acid amide esters	[#6][OX2][Sv6X4](=[OX1])(=[OX1])N	0.0
153	Sulfuric acid amides	[OH1,O-][Sv6X4](=[OX1])(=[OX1])N	0.0
154	Sulfuric acid diamides	N[Sv6X4](=[OX1])(=[OX1])N	0.00158061116965
155	Sulfuryl halides	[!#1!#6][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]	0.0
156	Sulfonic acid derivatives	[#6][Sv6X4](=[OX1])(=[OX1])[!#1!#6]	0.0110642781876
157	Sulfonic acids	[#6][Sv6X4](=[OX1])(=[OX1])[OH1,O-]	0.00105374077977
158	Sulfonic acid esters	[#6][Sv6X4](=[OX1])(=[OX1])[OX2][#6]	0.00105374077977
159	Sulfonamides	[#6][Sv6X4](=[OX1])(=[OX1])N	0.00842992623815
160	Sulfonyl halides	[#6][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]	0.0
161	Sulfones	[#6][Sv6X4](=[OX1,SX1,NX2])(=[OX1,SX1,NX2])[#6]	0.00158061116965
162	Sulfoxides	[#6][Sv4X3](=[OX1])[#6]	0.00105374077977
163	Sulfinic acid derivatives	[#6][Sv4X3](=[OX1])[!#1!#6]	0.0
164	Sulfinic acids	[#6][Sv4X3](=[OX1])[OH1,O-]	0.0
165	Sulfinic acid esters	[#6][Sv4X3](=[OX1])[OX2][#6]	0.0
166	Sulfinic acid halides	[#6][Sv4X3](=[OX1])[F,Cl,Br,I]	0.0
167	Sulfinic acid amides	[#6][Sv4X3](=[OX1])[NX3&!$([NX3][CX3]=[OX1,SX1,NX2])]	0.0
168	Sulfenic acid derivatives	[#6][Sv2X2][!#6!#1!S]	0.0
169	Sulfenic acids	[#6&!$([CX3]=[SX1,OX1,NX2])][Sv2X2][OH1]	0.0
170	Sulfenic acid esters	[#6&!$([CX3]=[SX1,OX1,NX2])][Sv2X2][OX2][#6]	0.0
171	Sulfenic acid halides	[#6&!$([CX3]=[SX1,OX1,NX2])][Sv2X2][F,Cl,Br,I]	0.0
